datasetId	role	componentPath	byteLength	sha256	origin	toolAndVersion	licenseId	licensePath	parentId	coverageTags	expectationId
curated-point-utf8-4326	CURATED	data/curated-point-utf8-4326/curated-point-utf8-4326.cpg	5	3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824	https://naturalearth.s3.amazonaws.com/110m_cultural/ne_110m_populated_places_simple.zip	pyshp-2.3.1	LicenseRef-NaturalEarth-Public-Domain	licenses/LicenseRef-NaturalEarth-Public-Domain.txt		crs-epsg-4326,dbf-decimal,dbf-integer,dbf-text,encoding-cpg,encoding-utf8,index-valid,shape-point	E_CURATED_POINT
curated-point-utf8-4326	CURATED	data/curated-point-utf8-4326/curated-point-utf8-4326.dbf	229	e60e7b8b1262dbfa7d3db5a00eacd552c82e98cdcec8076a77d028952db9ac67	https://naturalearth.s3.amazonaws.com/110m_cultural/ne_110m_populated_places_simple.zip	pyshp-2.3.1	LicenseRef-NaturalEarth-Public-Domain	licenses/LicenseRef-NaturalEarth-Public-Domain.txt		crs-epsg-4326,dbf-decimal,dbf-integer,dbf-text,encoding-cpg,encoding-utf8,index-valid,shape-point	E_CURATED_POINT
curated-point-utf8-4326	CURATED	data/curated-point-utf8-4326/curated-point-utf8-4326.prj	145	a02a27b1d1982c8516d83398e85a3c8b1aef1713c13ef4d84d7bde17430c07c4	https://naturalearth.s3.amazonaws.com/110m_cultural/ne_110m_populated_places_simple.zip	pyshp-2.3.1	LicenseRef-NaturalEarth-Public-Domain	licenses/LicenseRef-NaturalEarth-Public-Domain.txt		crs-epsg-4326,dbf-decimal,dbf-integer,dbf-text,encoding-cpg,encoding-utf8,index-valid,shape-point	E_CURATED_POINT
curated-point-utf8-4326	CURATED	data/curated-point-utf8-4326/curated-point-utf8-4326.shp	128	7883102661ab34ffff784e824623a21abda4c1cb501116d44e76f6f56117325f	https://naturalearth.s3.amazonaws.com/110m_cultural/ne_110m_populated_places_simple.zip	pyshp-2.3.1	LicenseRef-NaturalEarth-Public-Domain	licenses/LicenseRef-NaturalEarth-Public-Domain.txt		crs-epsg-4326,dbf-decimal,dbf-integer,dbf-text,encoding-cpg,encoding-utf8,index-valid,shape-point	E_CURATED_POINT
curated-point-utf8-4326	CURATED	data/curated-point-utf8-4326/curated-point-utf8-4326.shx	108	98cfef806a575e8bebd41acd99ca4320eab7044d5896c20c94e6617aa4a6aeb8	https://naturalearth.s3.amazonaws.com/110m_cultural/ne_110m_populated_places_simple.zip	pyshp-2.3.1	LicenseRef-NaturalEarth-Public-Domain	licenses/LicenseRef-NaturalEarth-Public-Domain.txt		crs-epsg-4326,dbf-decimal,dbf-integer,dbf-text,encoding-cpg,encoding-utf8,index-valid,shape-point	E_CURATED_POINT
generated-corrupt-dbf	GENERATED	data/generated-corrupt-dbf/generated-corrupt-dbf.dbf	225	3aa6abd664982e4bc1b450a54c1170cc9bdeb7b4f80217905e10ca304be1e317	derive:copy-parent-and-set-first-dbf-marker-0x7f	python-3.11.2	BSD-3-Clause	licenses/BSD-3-Clause.txt	generated-point-fallback-deleted	dbf-corrupt-terminal	E_CORRUPT_DBF
generated-corrupt-dbf	GENERATED	data/generated-corrupt-dbf/generated-corrupt-dbf.shp	156	26b3bcd60c0c8a5e50e125b26d3750ee129f89d30c8eae7a844cc64e4840d4ff	derive:copy-parent-and-set-first-dbf-marker-0x7f	python-3.11.2	BSD-3-Clause	licenses/BSD-3-Clause.txt	generated-point-fallback-deleted	dbf-corrupt-terminal	E_CORRUPT_DBF
generated-corrupt-dbf	GENERATED	data/generated-corrupt-dbf/generated-corrupt-dbf.shx	116	d9764f987609be9f06f2eb17e747da0223588020952f34748ce2d9ba96874034	derive:copy-parent-and-set-first-dbf-marker-0x7f	python-3.11.2	BSD-3-Clause	licenses/BSD-3-Clause.txt	generated-point-fallback-deleted	dbf-corrupt-terminal	E_CORRUPT_DBF
generated-corrupt-shx	GENERATED	data/generated-corrupt-shx/generated-corrupt-shx.cpg	12	ae03d34572181876684790d8b478a10d95055bbd039289095e8b6af1a20733a2	derive:copy-parent-and-corrupt-shx-header-byte-0	python-3.11.2	BSD-3-Clause	licenses/BSD-3-Clause.txt	generated-polygon-hole-windows1252-3857	index-corrupt-ignored	E_CORRUPT_SHX
generated-corrupt-shx	GENERATED	data/generated-corrupt-shx/generated-corrupt-shx.dbf	139	aeff5d58a12d628862343ba0ed0ae8e6ea156289be446ef666147f97dd039add	derive:copy-parent-and-corrupt-shx-header-byte-0	python-3.11.2	BSD-3-Clause	licenses/BSD-3-Clause.txt	generated-polygon-hole-windows1252-3857	index-corrupt-ignored	E_CORRUPT_SHX
generated-corrupt-shx	GENERATED	data/generated-corrupt-shx/generated-corrupt-shx.prj	413	4f01f36bf95963fb9174c50d396f1201b266ef7fa43304e718a7cb324ad71394	derive:copy-parent-and-corrupt-shx-header-byte-0	python-3.11.2	BSD-3-Clause	licenses/BSD-3-Clause.txt	generated-polygon-hole-windows1252-3857	index-corrupt-ignored	E_CORRUPT_SHX
generated-corrupt-shx	GENERATED	data/generated-corrupt-shx/generated-corrupt-shx.shp	540	5c2862ee77214a2c979ef2b4750de82b864eb5652c9ce1c4a952af4bbe8bfe37	derive:copy-parent-and-corrupt-shx-header-byte-0	python-3.11.2	BSD-3-Clause	licenses/BSD-3-Clause.txt	generated-polygon-hole-windows1252-3857	index-corrupt-ignored	E_CORRUPT_SHX
generated-corrupt-shx	GENERATED	data/generated-corrupt-shx/generated-corrupt-shx.shx	116	fe57c4e92b722a8fd1eec8f021c3359dc7786fabd6ecf648bc0b16c37afba6fc	derive:copy-parent-and-corrupt-shx-header-byte-0	python-3.11.2	BSD-3-Clause	licenses/BSD-3-Clause.txt	generated-polygon-hole-windows1252-3857	index-corrupt-ignored	E_CORRUPT_SHX
generated-multipart-line-ibm850	GENERATED	data/generated-multipart-line-ibm850/generated-multipart-line-ibm850.dbf	122	1ad3cfce822917f876fc87d3cbc88801fe6402a63ee4d0a9cadfc9d1f73dd77a	generated:pyshp-profile-v1	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt		dbf-integer,dbf-text,encoding-ibm850,encoding-ldid,index-valid,shape-multipart,shape-polyline	E_MULTIPART_LINE
generated-multipart-line-ibm850	GENERATED	data/generated-multipart-line-ibm850/generated-multipart-line-ibm850.shp	256	6eac4b63f01507ad6c4e18e0517ac4ed55b854f2781bab8ba73267af51a6eef5	generated:pyshp-profile-v1	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt		dbf-integer,dbf-text,encoding-ibm850,encoding-ldid,index-valid,shape-multipart,shape-polyline	E_MULTIPART_LINE
generated-multipart-line-ibm850	GENERATED	data/generated-multipart-line-ibm850/generated-multipart-line-ibm850.shx	108	4919d2ff46a32f1597ab56fde1109668cec0c37282cec378e42d297dd1c3ac4c	generated:pyshp-profile-v1	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt		dbf-integer,dbf-text,encoding-ibm850,encoding-ldid,index-valid,shape-multipart,shape-polyline	E_MULTIPART_LINE
generated-multipoint-null-ibm437	GENERATED	data/generated-multipoint-null-ibm437/generated-multipoint-null-ibm437.cpg	6	18268f521fd6f59dfe071ea75e0afeed9e15c162c78abdf1b677fa67686b86f5	generated:pyshp-profile-v1	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt		dbf-date,dbf-floating,dbf-logical,dbf-text,encoding-cpg,encoding-ibm437,index-valid,shape-multipoint,shape-null	E_MULTIPOINT_NULL
generated-multipoint-null-ibm437	GENERATED	data/generated-multipoint-null-ibm437/generated-multipoint-null-ibm437.dbf	237	8a265625a8c0c5d7202065d9aa764f6db34d2e51cff90353da756fa596ecad26	generated:pyshp-profile-v1	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt		dbf-date,dbf-floating,dbf-logical,dbf-text,encoding-cpg,encoding-ibm437,index-valid,shape-multipoint,shape-null	E_MULTIPOINT_NULL
generated-multipoint-null-ibm437	GENERATED	data/generated-multipoint-null-ibm437/generated-multipoint-null-ibm437.shp	208	9145836627c26c9f244e0724dabaf0b8bd8be26ad9910f23f5b92e7a1d2c77b7	generated:pyshp-profile-v1	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt		dbf-date,dbf-floating,dbf-logical,dbf-text,encoding-cpg,encoding-ibm437,index-valid,shape-multipoint,shape-null	E_MULTIPOINT_NULL
generated-multipoint-null-ibm437	GENERATED	data/generated-multipoint-null-ibm437/generated-multipoint-null-ibm437.shx	116	cf9bcb0c82116eb613103ec303a62e25d17bf518d18b2d8dc9e8a9cd94ac974c	generated:pyshp-profile-v1	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt		dbf-date,dbf-floating,dbf-logical,dbf-text,encoding-cpg,encoding-ibm437,index-valid,shape-multipoint,shape-null	E_MULTIPOINT_NULL
generated-point-fallback-deleted	GENERATED	data/generated-point-fallback-deleted/generated-point-fallback-deleted.dbf	225	e3f4284ec80a8a339f632bb42428f9988e676d49df67d80f5fc491836264d51a	generated:pyshp-profile-v1	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt		dbf-date,dbf-floating,dbf-logical,dbf-text,encoding-fallback,index-valid,record-deleted,shape-point	E_FALLBACK_DELETED
generated-point-fallback-deleted	GENERATED	data/generated-point-fallback-deleted/generated-point-fallback-deleted.shp	156	26b3bcd60c0c8a5e50e125b26d3750ee129f89d30c8eae7a844cc64e4840d4ff	generated:pyshp-profile-v1	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt		dbf-date,dbf-floating,dbf-logical,dbf-text,encoding-fallback,index-valid,record-deleted,shape-point	E_FALLBACK_DELETED
generated-point-fallback-deleted	GENERATED	data/generated-point-fallback-deleted/generated-point-fallback-deleted.shx	116	d9764f987609be9f06f2eb17e747da0223588020952f34748ce2d9ba96874034	generated:pyshp-profile-v1	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt		dbf-date,dbf-floating,dbf-logical,dbf-text,encoding-fallback,index-valid,record-deleted,shape-point	E_FALLBACK_DELETED
generated-point-iso88591-unknown-prj	GENERATED	data/generated-point-iso88591-unknown-prj/generated-point-iso88591-unknown-prj.cpg	10	09fc313075748ce8ead962229ed89c919d5a9ff71974ee725a0b48bb87d975a2	generated:pyshp-profile-v1	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt		crs-explicit-override,crs-unknown-retained,dbf-text,encoding-cpg,encoding-explicit-override,encoding-iso88591,index-valid,shape-point	E_ISO_UNKNOWN
generated-point-iso88591-unknown-prj	GENERATED	data/generated-point-iso88591-unknown-prj/generated-point-iso88591-unknown-prj.dbf	82	234783f92fc802ae87191ba56e81f8b8d42d256e7c1044e2ce86568b97b300cb	generated:pyshp-profile-v1	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt		crs-explicit-override,crs-unknown-retained,dbf-text,encoding-cpg,encoding-explicit-override,encoding-iso88591,index-valid,shape-point	E_ISO_UNKNOWN
generated-point-iso88591-unknown-prj	GENERATED	data/generated-point-iso88591-unknown-prj/generated-point-iso88591-unknown-prj.prj	42	67c9e76916a7af7143b60816417b5b4859523e3572ea6d536cfdd4c3a354cf25	generated:pyshp-profile-v1	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt		crs-explicit-override,crs-unknown-retained,dbf-text,encoding-cpg,encoding-explicit-override,encoding-iso88591,index-valid,shape-point	E_ISO_UNKNOWN
generated-point-iso88591-unknown-prj	GENERATED	data/generated-point-iso88591-unknown-prj/generated-point-iso88591-unknown-prj.shp	128	c817bf6b905ba2fde4e3c2260da48d862577c15ccc6c647fa166d5c7161df83f	generated:pyshp-profile-v1	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt		crs-explicit-override,crs-unknown-retained,dbf-text,encoding-cpg,encoding-explicit-override,encoding-iso88591,index-valid,shape-point	E_ISO_UNKNOWN
generated-point-iso88591-unknown-prj	GENERATED	data/generated-point-iso88591-unknown-prj/generated-point-iso88591-unknown-prj.shx	108	fa40f34d1a7ce9b96025aaa6a3b6bb2d8621e50ee3010a7dd56b7542dbadcf83	generated:pyshp-profile-v1	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt		crs-explicit-override,crs-unknown-retained,dbf-text,encoding-cpg,encoding-explicit-override,encoding-iso88591,index-valid,shape-point	E_ISO_UNKNOWN
generated-pointz-rejected	GENERATED	data/generated-pointz-rejected/generated-pointz-rejected.dbf	76	23b5d2730dd0eb1611bb8cf0520476cd550edcbf725a176323a0226b60bb3afd	derive:point-profile-to-pointz	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt	generated-point-fallback-deleted	shape-zm-rejected	E_POINTZ_REJECTED
generated-pointz-rejected	GENERATED	data/generated-pointz-rejected/generated-pointz-rejected.shp	144	a6ef3f0bd7049dd1957938c8fc6edd52c1fa2d935a840318c472503b090af0f1	derive:point-profile-to-pointz	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt	generated-point-fallback-deleted	shape-zm-rejected	E_POINTZ_REJECTED
generated-pointz-rejected	GENERATED	data/generated-pointz-rejected/generated-pointz-rejected.shx	108	2e37e2ea62833f5a7346a8231379e74112d7f7743ededf6c9195b40581f247f2	derive:point-profile-to-pointz	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt	generated-point-fallback-deleted	shape-zm-rejected	E_POINTZ_REJECTED
generated-polygon-hole-windows1252-3857	GENERATED	data/generated-polygon-hole-windows1252-3857/generated-polygon-hole-windows1252-3857.cpg	12	ae03d34572181876684790d8b478a10d95055bbd039289095e8b6af1a20733a2	generated:pyshp-profile-v1	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt		crs-epsg-3857,dbf-text,encoding-cpg,encoding-windows1252,index-valid,shape-hole,shape-multipart,shape-polygon	E_POLYGON_HOLE
generated-polygon-hole-windows1252-3857	GENERATED	data/generated-polygon-hole-windows1252-3857/generated-polygon-hole-windows1252-3857.dbf	139	aeff5d58a12d628862343ba0ed0ae8e6ea156289be446ef666147f97dd039add	generated:pyshp-profile-v1	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt		crs-epsg-3857,dbf-text,encoding-cpg,encoding-windows1252,index-valid,shape-hole,shape-multipart,shape-polygon	E_POLYGON_HOLE
generated-polygon-hole-windows1252-3857	GENERATED	data/generated-polygon-hole-windows1252-3857/generated-polygon-hole-windows1252-3857.prj	413	4f01f36bf95963fb9174c50d396f1201b266ef7fa43304e718a7cb324ad71394	generated:pyshp-profile-v1	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt		crs-epsg-3857,dbf-text,encoding-cpg,encoding-windows1252,index-valid,shape-hole,shape-multipart,shape-polygon	E_POLYGON_HOLE
generated-polygon-hole-windows1252-3857	GENERATED	data/generated-polygon-hole-windows1252-3857/generated-polygon-hole-windows1252-3857.shp	540	5c2862ee77214a2c979ef2b4750de82b864eb5652c9ce1c4a952af4bbe8bfe37	generated:pyshp-profile-v1	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt		crs-epsg-3857,dbf-text,encoding-cpg,encoding-windows1252,index-valid,shape-hole,shape-multipart,shape-polygon	E_POLYGON_HOLE
generated-polygon-hole-windows1252-3857	GENERATED	data/generated-polygon-hole-windows1252-3857/generated-polygon-hole-windows1252-3857.shx	116	a1b843a5ac60ee7d17de18d5b12cfe55df68ea93b755a0213429d9bc8cb9791c	generated:pyshp-profile-v1	pyshp-2.3.1	BSD-3-Clause	licenses/BSD-3-Clause.txt		crs-epsg-3857,dbf-text,encoding-cpg,encoding-windows1252,index-valid,shape-hole,shape-multipart,shape-polygon	E_POLYGON_HOLE
